ID,Title,Brand,Size,Curr_Price,Init_Price,Listed_At,Bumped_At,Flag
0,Blake Griffin Los Angeles Clippers Jersey,Adidas × Nba,s,$35.00 ,$35.00 ,17 mins ago,,0
1,SHIRT S/S 2013 Archival T-Shirt,Comme des Garcons,l,$188.00 ,$188.00 ,18 mins ago,,0
2,WTB WACKO MARIA X UNION SHIRT,Union × Wacko Maria,xl,$1.00 ,$1.00 ,18 mins ago,,0
3,Ramones low,Rick Owens,8.5,$500.00 ,$500.00 ,19 mins ago,,0
4,Box Logo HBA shirt,Hood By Air,m,$235.00 ,$235.00 ,20 mins ago,,0
5,Wooden buckle Gucci belt,Gucci,40,$220.00 ,$220.00 ,21 mins ago,,0
6,Off-White c/o Virgil Abloh Leather Jacket,Off-White,m,"$1,300.00 ","$1,300.00 ",21 mins ago,,0
7,Gucci Cardigan,Gucci,xl,$795.00 ,$795.00 ,21 mins ago,,0
8,Jodhpurs,Saint Laurent Paris,7,$750.00 ,$750.00 ,22 mins ago,,0
9,Lipstick/Makeup/Fragrance Holder in Damier Ebene,Louis Vuitton,os,$199.00 ,$199.00 ,22 mins ago,,0
10,GL6000,Reebok,10,$60.00 ,$60.00 ,22 mins ago,,0
11,Ramones low,Rick Owens,6,$450.00 ,$450.00 ,22 mins ago,,0
12,Snoopy Sweatshirt,Arnold Brant × Peanuts × Uniqlo,m,$25.00 ,$25.00 ,23 mins ago,,0
13,Agenda PM in Monogram,Louis Vuitton,os,$215.00 ,$215.00 ,23 mins ago,,0
14,Saint Laurent Black Leather Shoes,Saint Laurent Paris,10.5,$455.00 ,$455.00 ,23 mins ago,,0
15,Gucci Wallet,Gucci,os,$150.00 ,$150.00 ,24 mins ago,,0
16,Card Case in Taïga Ardoise,Louis Vuitton,os,$189.00 ,$189.00 ,24 mins ago,,0
17,Marquee Moon Jacket,Undercover,xl,$800.00 ,$800.00 ,24 mins ago,,1
18,ASSC Kkoch Crew Neck,Anti × Antisocial Social Club,l,$175.00 ,$175.00 ,25 mins ago,,0
19,vintage guess sport tshirt glow in the darks,Guess × Vintage,l,$95.00 ,$95.00 ,26 mins ago,,0
20,Timberland Spell Out Shirt,Timberland,m,$55.00 ,$55.00 ,27 mins ago,,0
21,Floral Hibiscus Hawaii Beach Surf,Hawaiian Shirt × Moschino,m,$120.00 ,$120.00 ,27 mins ago,,0
22,$895 fur Keychain,Fendi,os,$384.00 ,$384.00 ,27 mins ago,,0
23,WWCD LONGSLEEVE,Cactus Plant Flea Market,xl,$325.00 ,$325.00 ,27 mins ago,,0
24,Comme Des Garcons Plaid Shirt Sz Xl,Comme des Garcons,xl,$150.00 ,$150.00 ,27 mins ago,,0
25,Japanese designer juhashimoto sweatshirt,Designer × Japanese Brand × Junhashimoto,m,$80.00 ,$80.00 ,28 mins ago,,0
26,Everlast Big Size Shirt,Everlast,l,$55.00 ,$55.00 ,29 mins ago,,0
27,Vintage Chanel Scarf,Chanel × Vintage,os,$120.00 ,$120.00 ,29 mins ago,,0
28,Vintage Pierre Balmain Silk Shirt NOT Balenciaga Versace Hermes Gucci Raf Simons Saint Laurent,Pierre Balmain,m,$185.00 ,$185.00 ,30 mins ago,,0
29,Rare!!! Prada milano pants,Prada,31,$130.00 ,$130.00 ,30 mins ago,,1
30,Bape Japan Exclusive Pirate Store T-Shirt,Bape,s,$56.00 ,$56.00 ,30 mins ago,,0
31,Julius Beat Collection Off White Long Sleeve Knit,Julius,s,$110.00 ,$110.00 ,30 mins ago,,0
32,Blackmeans Knuckle Duster Leather Lighter Holder,Blackmeans,os,$200.00 ,$200.00 ,31 mins ago,,0
33,Vivienne Aglomania Stretched Slim Fit Denim,Lee × Malcolm McLaren × Vivienne Westwood,30,$245.00 ,$245.00 ,31 mins ago,,0
34,Gucci iPhone 7+/8+ iPhone Case,Gucci,os,$150.00 ,$150.00 ,31 mins ago,,0
35,Black Commo Des Garcon Shirt Made In Japan,Comme des Garcons,s,$199.00 ,$199.00 ,31 mins ago,,0
36,Red Logo Hoodie,Dime,m,$80.00 ,$80.00 ,32 mins ago,,0
37,Icantdecideyet Authentic Original Tennessee Finesse T-shirt,icantdecideyet,xxl,$175.00 ,$175.00 ,32 mins ago,,0
38,Rare!!! Vintage 90s T-Shirt TUSKEGEE AIRMAN/Army shirt Movie Shirt Camo Tshirt Not Kill em All Harley Davidson Biker Weeks,Movie × Solid × Vintage,xxl,$85.00 ,$85.00 ,32 mins ago,,0
39,Vintage Chanel Scarf,Chanel × Vintage,os,$125.00 ,$125.00 ,32 mins ago,,0
40,SICK MIND HANDPAINTED HOODIE,Custom Made × Custom Piece,xl,$38.00 ,$38.00 ,33 mins ago,,0
41,Cozy White Distressed Slim Fit Denim,Number (N)ine × Takahiromiyashita The Soloist.,32,$355.00 ,$355.00 ,33 mins ago,,1
42,Vintage Mariano Rubinacci Sports Overshirt Silk Jacket NOT Balenciaga Versace Hermes Gucci Raf Simons Saint Laurent,Italian Designers × Rubinacci × Vintage,l,$200.00 ,$200.00 ,34 mins ago,,0
